track_artist,released_year,danceability,energy,valence,tempo,number_of_songs
Aloe Blacc,2010,84.0,48.2,95.7,95.5,1
Aloe Blacc,2013,53.3,75.5,47.2,86.0,1
Aloe Blacc,2014,70.4,43.3,81.6,105.2,1
Alok,1905,77.8,46.3,49.6,122.0,1
Alok,2018,75.6,81.6,45.0,96.5,2
Alok,2019,62.1,86.9,46.8,123.6,7
Alpharock,2015,59.3,79.1,29.6,128.0,2
Alphaville,1905,75.7,59.6,19.5,97.8,1
Alphaville,1984,72.4,58.0,36.8,97.4,2
Alphaville,1991,75.5,60.4,49.1,97.8,1
Alrahim Wright III,2019,83.8,22.6,46.2,134.0,1
Alsogood,2019,77.4,59.0,52.1,84.9,2
Altafulla,2014,64.4,75.5,80.9,192.0,1
Altamira,2019,78.8,39.3,62.9,100.3,3
Alter Bridge,2019,42.8,88.6,23.2,86.2,2
Altoparlante,2017,84.2,55.5,45.0,122.0,1
AlunaGeorge,2014,80.1,46.9,31.7,115.1,1
AlunaGeorge,2015,81.5,84.0,58.7,123.0,1
AlunaGeorge,2016,72.5,84.4,71.1,104.0,1
Alvaro,2015,72.0,97.6,33.5,128.0,1
Alvaro,2017,83.0,50.8,79.7,95.0,1
Alvaro Rod,2019,72.8,79.3,64.0,100.0,1
Alvaro Soler,2015,61.7,93.9,66.4,124.0,1
Alvaro Soler,2016,68.8,72.9,90.9,128.0,1
Alveole,2019,52.1,92.4,63.8,140.0,1
Alvin Marquis,2019,79.2,69.2,64.9,77.0,1
Alvita,2015,69.7,86.6,15.8,128.0,1
Alvvays,2014,27.0,83.0,20.5,117.3,1
Alx Veliz,2015,69.1,79.8,31.2,101.5,2
Alyssa Reid,2011,48.7,80.9,58.2,86.0,1
AmPm,2019,73.4,71.4,74.4,120.0,1
AmaLee,2015,47.5,94.4,13.2,109.0,1
Amanaz,2017,54.9,51.7,63.5,88.0,1
