track_artist,released_year,averagePopularity,averagePopularity
Arcando,2019,13.0,13.0
Arcangel,2006,29.0,29.0
Arcangel,2008,58.333333333333336,58.3
Arcangel,2009,1.0,1.0
Arcangel,2015,0.0,0.0
Arcangel,2016,69.0,69.0
Arcangel,2018,51.0,51.0
Arcangel,2019,53.666666666666664,53.7
Archie Eversole,2002,0.0,0.0
Architrackz,2019,52.25,52.2
Arcis,2017,41.0,41.0
Arctic Monkeys,2006,62.0,62.0
Arctic Monkeys,2007,66.0,66.0
Arctic Monkeys,2009,52.0,52.0
Arctic Monkeys,2011,58.0,58.0
Arctic Monkeys,2013,79.0,79.0
Ardian Bujupi,2019,52.0,52.0
Arena,2015,32.0,32.0
Aretha Franklin,1905,23.5,23.5
Aretha Franklin,1967,54.0,54.0
Aretha Franklin,2015,10.0,10.0
Argui,2019,34.0,34.0
Ari Lennox,2016,54.75,54.8
Ari Lennox,2019,56.57142857142857,56.6
Ariana Grande,2013,67.0,67.0
Ariana Grande,2014,43.25,43.2
Ariana Grande,2016,61.4,61.4
Ariana Grande,2017,45.0,45.0
Ariana Grande,2018,55.09090909090909,55.1
Ariana Grande,2019,78.3,78.3
Ariel Pink,2010,57.0,57.0
Ariel T,2019,46.0,46.0
Aries,2018,53.0,53.0
Arin Ray,2019,59.0,59.0
Aristic,2019,23.0,23.0
Arizona Zervas,2017,47.0,47.0
Arizona Zervas,2018,74.5,74.5
Arizona Zervas,2019,76.5,76.5
Arjuna Oakes,2019,26.5,26.5
Arlissa,2018,65.0,65.0
Arlo Parks,2019,51.0,51.0
Arman Cekin,2016,44.0,44.0
Armand Van Helden,2012,0.0,0.0
Armand Van Helden,2018,13.0,13.0
Armando,2019,30.0,30.0
Armando Infante,2019,33.0,33.0
Armin van Buuren,2013,36.6,36.6
Armin van Buuren,2014,28.2,28.2
Armin van Buuren,2015,20.5,20.5
Armin van Buuren,2016,25.0,25.0
Armin van Buuren,2017,21.0,21.0
Armin van Buuren,2018,48.4,48.4
Armin van Buuren,2019,49.785714285714285,49.8
Armin van Buuren,2020,8.0,8.0
